Province,City,Price,Square Feet,Baths,Bedrooms,Property Type,Year Built
BC,Vancouver,3098000.0,2312.0,4.0,4.0,SINGLE_FAMILY_HOUSE,2000.0
BC,Vancouver,668000.0,539.0,1.0,1.0,CONDO,2004.0
BC,Vancouver,1109000.0,1123.0,2.0,2.0,CONDO,1992.0
BC,Vancouver,448000.0,601.0,1.0,1.0,CONDO,1975.0
BC,Vancouver,658000.0,638.0,1.0,1.0,CONDO,2007.0
BC,Vancouver,629000.0,630.0,1.0,1.0,CONDO,2008.0
BC,Vancouver,679000.0,699.0,1.0,2.0,CONDO,2013.0
BC,Vancouver,679900.0,778.0,1.0,1.0,CONDO,2003.0
BC,Vancouver,5200000.0,4814.0,7.0,5.0,SINGLE_FAMILY_HOUSE,2013.0
BC,Vancouver,559900.0,638.0,1.0,2.0,CONDO,1982.0
BC,Vancouver,2398000.0,1862.0,3.0,4.0,TOWNHOUSE,2018.0
BC,Vancouver,699000.0,951.0,2.0,2.0,SINGLE_FAMILY_HOUSE,1995.0
